"event","date","fulldate","cov_all","mid.x","mid.y","grid.cell","catch"
3,2098,"2015-09-30",0.52,27.623778474319,-17.0002866597948,4260,"Chiyabi"
4,2250,"2016-02-29",0.52,27.623778474319,-17.0002866597948,4260,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6615802597521,-16.9913035069536,4360,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6615802597521,-16.9913035069536,4360,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6615802597521,-16.9913035069536,4360,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6615802597521,-16.9913035069536,4360,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6615802597521,-16.96435404843,4363,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6615802597521,-16.96435404843,4363,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6615802597521,-16.96435404843,4363,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6615802597521,-16.96435404843,4363,"Chiyabi"
1,1825,"2014-12-31",0.52,27.7088324915433,-16.9913035069536,4488,"Chiyabi"
2,1885,"2015-03-01",0.52,27.7088324915433,-16.9913035069536,4488,"Chiyabi"
3,2098,"2015-09-30",0.52,27.7088324915433,-16.9913035069536,4488,"Chiyabi"
4,2250,"2016-02-29",0.52,27.7088324915433,-16.9913035069536,4488,"Chiyabi"
1,1825,"2014-12-31",0.52,27.7088324915433,-17.0002866597948,4487,"Chiyabi"
2,1885,"2015-03-01",0.52,27.7088324915433,-17.0002866597948,4487,"Chiyabi"
3,2098,"2015-09-30",0.52,27.7088324915433,-17.0002866597948,4487,"Chiyabi"
4,2250,"2016-02-29",0.52,27.7088324915433,-17.0002866597948,4487,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6710307061103,-16.9913035069536,4385,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6710307061103,-16.9913035069536,4385,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6710307061103,-16.9913035069536,4385,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6710307061103,-16.9913035069536,4385,"Chiyabi"
