"round","date","prevalence","mid.x","mid.y","grid.cell","catch"
10,"2016-02-29",0.0866,27.6521298133938,-16.9913035069536,4336,"Chiyabi"
1,"2012-07-01",0.4724,27.623778474319,-17.0272361183184,4259,"Chiyabi"
2,"2012-09-30",0.2808,27.623778474319,-17.0272361183184,4259,"Chiyabi"
3,"2012-11-30",0.2106,27.623778474319,-17.0272361183184,4259,"Chiyabi"
4,"2013-07-01",0.4331,27.623778474319,-17.0272361183184,4259,"Chiyabi"
5,"2013-08-31",0.3419,27.623778474319,-17.0272361183184,4259,"Chiyabi"
6,"2013-10-31",0.4441,27.623778474319,-17.0272361183184,4259,"Chiyabi"
7,"2014-12-31",0.2919,27.623778474319,-17.0272361183184,4259,"Chiyabi"
8,"2015-03-01",0.2007,27.623778474319,-17.0272361183184,4259,"Chiyabi"
9,"2015-09-30",0.3336,27.623778474319,-17.0272361183184,4259,"Chiyabi"
10,"2016-02-29",0.0866,27.623778474319,-17.0272361183184,4259,"Chiyabi"
1,"2012-07-01",0.4724,27.6615802597521,-17.009269812636,4358,"Chiyabi"
2,"2012-09-30",0.2808,27.6615802597521,-17.009269812636,4358,"Chiyabi"
3,"2012-11-30",0.2106,27.6615802597521,-17.009269812636,4358,"Chiyabi"
4,"2013-07-01",0.4331,27.6615802597521,-17.009269812636,4358,"Chiyabi"
5,"2013-08-31",0.3419,27.6615802597521,-17.009269812636,4358,"Chiyabi"
6,"2013-10-31",0.4441,27.6615802597521,-17.009269812636,4358,"Chiyabi"
7,"2014-12-31",0.2919,27.6615802597521,-17.009269812636,4358,"Chiyabi"
8,"2015-03-01",0.2007,27.6615802597521,-17.009269812636,4358,"Chiyabi"
9,"2015-09-30",0.3336,27.6615802597521,-17.009269812636,4358,"Chiyabi"
10,"2016-02-29",0.0866,27.6615802597521,-17.009269812636,4358,"Chiyabi"
1,"2012-07-01",0.4724,27.6993820451851,-16.9913035069536,4458,"Chiyabi"
2,"2012-09-30",0.2808,27.6993820451851,-16.9913035069536,4458,"Chiyabi"
3,"2012-11-30",0.2106,27.6993820451851,-16.9913035069536,4458,"Chiyabi"
4,"2013-07-01",0.4331,27.6993820451851,-16.9913035069536,4458,"Chiyabi"
5,"2013-08-31",0.3419,27.6993820451851,-16.9913035069536,4458,"Chiyabi"
6,"2013-10-31",0.4441,27.6993820451851,-16.9913035069536,4458,"Chiyabi"
7,"2014-12-31",0.2919,27.6993820451851,-16.9913035069536,4458,"Chiyabi"
8,"2015-03-01",0.2007,27.6993820451851,-16.9913035069536,4458,"Chiyabi"
9,"2015-09-30",0.3336,27.6993820451851,-16.9913035069536,4458,"Chiyabi"
10,"2016-02-29",0.0866,27.6993820451851,-16.9913035069536,4458,"Chiyabi"
1,"2012-07-01",0.4724,27.6332289206773,-17.0272361183184,4284,"Chiyabi"
2,"2012-09-30",0.2808,27.6332289206773,-17.0272361183184,4284,"Chiyabi"
3,"2012-11-30",0.2106,27.6332289206773,-17.0272361183184,4284,"Chiyabi"
4,"2013-07-01",0.4331,27.6332289206773,-17.0272361183184,4284,"Chiyabi"
5,"2013-08-31",0.3419,27.6332289206773,-17.0272361183184,4284,"Chiyabi"
6,"2013-10-31",0.4441,27.6332289206773,-17.0272361183184,4284,"Chiyabi"
7,"2014-12-31",0.2919,27.6332289206773,-17.0272361183184,4284,"Chiyabi"
8,"2015-03-01",0.2007,27.6332289206773,-17.0272361183184,4284,"Chiyabi"
9,"2015-09-30",0.3336,27.6332289206773,-17.0272361183184,4284,"Chiyabi"
10,"2016-02-29",0.0866,27.6332289206773,-17.0272361183184,4284,"Chiyabi"
1,"2012-07-01",0.4724,27.6993820451851,-16.96435404843,4461,"Chiyabi"
2,"2012-09-30",0.2808,27.6993820451851,-16.96435404843,4461,"Chiyabi"
3,"2012-11-30",0.2106,27.6993820451851,-16.96435404843,4461,"Chiyabi"
4,"2013-07-01",0.4331,27.6993820451851,-16.96435404843,4461,"Chiyabi"
5,"2013-08-31",0.3419,27.6993820451851,-16.96435404843,4461,"Chiyabi"
6,"2013-10-31",0.4441,27.6993820451851,-16.96435404843,4461,"Chiyabi"
7,"2014-12-31",0.2919,27.6993820451851,-16.96435404843,4461,"Chiyabi"
8,"2015-03-01",0.2007,27.6993820451851,-16.96435404843,4461,"Chiyabi"
9,"2015-09-30",0.3336,27.6993820451851,-16.96435404843,4461,"Chiyabi"
10,"2016-02-29",0.0866,27.6993820451851,-16.96435404843,4461,"Chiyabi"
1,"2012-07-01",0.4724,27.6710307061103,-17.009269812636,4383,"Chiyabi"
2,"2012-09-30",0.2808,27.6710307061103,-17.009269812636,4383,"Chiyabi"
3,"2012-11-30",0.2106,27.6710307061103,-17.009269812636,4383,"Chiyabi"
4,"2013-07-01",0.4331,27.6710307061103,-17.009269812636,4383,"Chiyabi"
5,"2013-08-31",0.3419,27.6710307061103,-17.009269812636,4383,"Chiyabi"
6,"2013-10-31",0.4441,27.6710307061103,-17.009269812636,4383,"Chiyabi"
7,"2014-12-31",0.2919,27.6710307061103,-17.009269812636,4383,"Chiyabi"
8,"2015-03-01",0.2007,27.6710307061103,-17.009269812636,4383,"Chiyabi"
9,"2015-09-30",0.3336,27.6710307061103,-17.009269812636,4383,"Chiyabi"
10,"2016-02-29",0.0866,27.6710307061103,-17.009269812636,4383,"Chiyabi"
1,"2012-07-01",0.4724,27.6426793670356,-17.0362192711596,4309,"Chiyabi"
2,"2012-09-30",0.2808,27.6426793670356,-17.0362192711596,4309,"Chiyabi"
3,"2012-11-30",0.2106,27.6426793670356,-17.0362192711596,4309,"Chiyabi"
4,"2013-07-01",0.4331,27.6426793670356,-17.0362192711596,4309,"Chiyabi"
5,"2013-08-31",0.3419,27.6426793670356,-17.0362192711596,4309,"Chiyabi"
6,"2013-10-31",0.4441,27.6426793670356,-17.0362192711596,4309,"Chiyabi"
7,"2014-12-31",0.2919,27.6426793670356,-17.0362192711596,4309,"Chiyabi"
8,"2015-03-01",0.2007,27.6426793670356,-17.0362192711596,4309,"Chiyabi"
9,"2015-09-30",0.3336,27.6426793670356,-17.0362192711596,4309,"Chiyabi"
10,"2016-02-29",0.0866,27.6426793670356,-17.0362192711596,4309,"Chiyabi"
1,"2012-07-01",0.4724,27.6993820451851,-16.9823203541124,4459,"Chiyabi"
2,"2012-09-30",0.2808,27.6993820451851,-16.9823203541124,4459,"Chiyabi"
3,"2012-11-30",0.2106,27.6993820451851,-16.9823203541124,4459,"Chiyabi"
4,"2013-07-01",0.4331,27.6993820451851,-16.9823203541124,4459,"Chiyabi"
5,"2013-08-31",0.3419,27.6993820451851,-16.9823203541124,4459,"Chiyabi"
6,"2013-10-31",0.4441,27.6993820451851,-16.9823203541124,4459,"Chiyabi"
7,"2014-12-31",0.2919,27.6993820451851,-16.9823203541124,4459,"Chiyabi"
8,"2015-03-01",0.2007,27.6993820451851,-16.9823203541124,4459,"Chiyabi"
9,"2015-09-30",0.3336,27.6993820451851,-16.9823203541124,4459,"Chiyabi"
10,"2016-02-29",0.0866,27.6993820451851,-16.9823203541124,4459,"Chiyabi"
1,"2012-07-01",0.4724,27.6521298133938,-17.0182529654772,4334,"Chiyabi"
2,"2012-09-30",0.2808,27.6521298133938,-17.0182529654772,4334,"Chiyabi"
3,"2012-11-30",0.2106,27.6521298133938,-17.0182529654772,4334,"Chiyabi"
4,"2013-07-01",0.4331,27.6521298133938,-17.0182529654772,4334,"Chiyabi"
5,"2013-08-31",0.3419,27.6521298133938,-17.0182529654772,4334,"Chiyabi"
6,"2013-10-31",0.4441,27.6521298133938,-17.0182529654772,4334,"Chiyabi"
7,"2014-12-31",0.2919,27.6521298133938,-17.0182529654772,4334,"Chiyabi"
8,"2015-03-01",0.2007,27.6521298133938,-17.0182529654772,4334,"Chiyabi"
9,"2015-09-30",0.3336,27.6521298133938,-17.0182529654772,4334,"Chiyabi"
10,"2016-02-29",0.0866,27.6521298133938,-17.0182529654772,4334,"Chiyabi"
1,"2012-07-01",0.4724,27.6899315988268,-17.0002866597948,4434,"Chiyabi"
2,"2012-09-30",0.2808,27.6899315988268,-17.0002866597948,4434,"Chiyabi"
3,"2012-11-30",0.2106,27.6899315988268,-17.0002866597948,4434,"Chiyabi"
