"grid_cell","round","date","prev","N"
248,4,2013-06-20,0.05,20
248,5,2013-08-14,0,11
249,4,2013-06-04,0,3
249,5,2013-08-22,0,3
250,4,2013-06-04,0,7
250,5,2013-08-22,0,7
251,1,2012-07-06,0.0285714285714286,36
251,2,2012-09-11,0.0125,90
251,3,2012-10-29,0,83
251,4,2013-06-04,0,65
251,5,2013-08-22,0,43
251,6,2013-10-15,0,34
251,7,2014-12-21,0.0232558139534884,43
251,9,2015-09-19,0,76
251,10,2016-02-13,0,44
252,2,2012-09-11,0,10
252,3,2012-10-29,0,10
252,9,2015-09-18,0,12
252,10,2016-02-13,0,9
253,10,2016-03-01,0,11
254,10,2016-02-28,0,11
255,7,2014-12-24,0.142857142857143,21
255,9,2015-09-19,0,5
256,9,2015-09-19,0,19
257,7,2014-12-11,0,7
257,9,2015-09-26,0,24
257,10,2016-03-01,0,11
258,7,2014-12-11,0,24
259,7,2014-12-10,0,58
259,9,2015-09-26,0,28
259,10,2016-02-22,0,15
260,7,2014-12-11,0,29
260,9,2015-09-27,0,16
260,10,2016-02-21,0,12
261,7,2014-12-12,0,16
261,9,2015-09-27,0,13
261,10,2016-02-23,0,15
262,10,2016-02-21,0,6
263,7,2014-12-13,0,17
263,9,2015-09-27,0,42
263,10,2016-02-21,0,25
264,9,2015-09-28,0,7
264,10,2016-02-22,0,28
265,8,2015-02-10,0,6
265,9,2015-09-11,0,10
265,10,2016-02-14,0,9
266,7,2014-12-30,0,10
266,8,2015-02-09,0,15
266,9,2015-09-12,0,21
266,10,2016-02-13,0,7
267,7,2014-12-30,0,17
267,8,2015-02-10,0,17
267,9,2015-09-13,0.0714285714285714,28
268,7,2014-12-16,0,7
268,9,2015-09-14,0,8
269,3,2012-11-13,0.0526315789473684,19
269,4,2013-06-19,0.227272727272727,22
269,5,2013-08-12,0,26
269,6,2013-10-25,0,15
270,6,2013-10-25,0,4
271,1,2012-06-28,0.222222222222222,9
271,2,2012-08-17,0.307692307692308,26
271,3,2012-11-13,0.0740740740740741,27
271,4,2013-06-19,0.1,20
271,6,2013-10-25,0.1,10
271,8,2015-02-21,0,11
272,1,2012-06-28,0.5,11
272,2,2012-08-17,0.181818181818182,12
272,3,2012-11-13,0,7
272,4,2013-06-19,0,8
272,6,2013-10-25,0.105263157894737,19
273,1,2012-07-05,0,14
273,2,2012-09-11,0,18
273,4,2013-06-04,0,26
273,5,2013-08-22,0,44
273,6,2013-10-15,0,22
273,7,2014-12-21,0,83
273,9,2015-09-18,0.0384615384615385,29
273,10,2016-02-14,0,13
274,9,2015-09-24,0,24
274,10,2016-03-01,0,37
275,9,2015-09-24,0,7
275,10,2016-03-01,0,25
276,9,2015-09-22,0,24
277,7,2014-12-25,0,15
277,9,2015-09-19,0,15
277,10,2016-02-27,0.2,5
278,7,2014-12-25,0,19
278,9,2015-09-23,0,31
278,10,2016-02-27,0,25
279,7,2014-12-10,0,27
279,10,2016-02-23,0,32
280,7,2014-12-10,0,74
280,9,2015-09-22,0,32
280,10,2016-02-22,0,36
281,7,2014-12-10,0,55
281,9,2015-09-26,0,9
281,10,2016-02-21,0,29
282,7,2014-12-09,0,61
282,9,2015-09-23,0,30
282,10,2016-02-21,0,16
283,7,2014-12-12,0,56
283,9,2015-09-22,0,5
283,10,2016-02-21,0,63
284,9,2015-09-23,0,17
285,9,2015-09-28,0,13
285,10,2016-02-21,0,8
286,9,2015-09-28,0,5
286,10,2016-02-22,0,4
287,10,2016-02-12,0,19
288,7,2014-12-21,0,16
288,8,2015-02-10,0,14
288,9,2015-09-12,0,32
288,10,2016-02-14,0,26
289,7,2014-12-22,0,35
289,8,2015-02-09,0,46
289,9,2015-09-12,0,42
289,10,2016-02-13,0,22
290,8,2015-02-09,0,8
290,9,2015-09-14,0,7
291,7,2014-12-16,0,9
291,9,2015-09-14,0,10
291,10,2016-02-15,0,8
292,1,2012-06-27,0.0909090909090909,11
292,2,2012-08-16,0,5
292,3,2012-11-11,0,6
292,5,2013-08-14,0,5
292,6,2013-10-23,0,6
293,3,2012-11-13,0,3
293,4,2013-06-19,0,4
293,6,2013-10-25,0,5
293,10,2016-02-10,0,8
294,1,2012-06-28,0.428571428571429,10
294,2,2012-08-17,0.230769230769231,13
294,3,2012-11-13,0.375,9
294,4,2013-06-19,0,11
294,5,2013-08-12,0.25,12
294,6,2013-10-25,0.05,20
295,1,2012-06-28,0.3125,16
295,3,2012-11-13,0,9
296,1,2012-06-28,0.5,8
296,2,2012-08-17,0.0384615384615385,27
296,3,2012-11-13,0,11
296,4,2013-06-19,0.0625,48
296,5,2013-08-12,0,24
296,6,2013-10-25,0.285714285714286,7
296,8,2015-02-21,0,12
297,9,2015-09-18,0,8
298,7,2014-12-25,0,16
298,9,2015-09-24,0,5
298,10,2016-03-02,0,26
299,7,2014-12-25,0.0909090909090909,13
299,9,2015-09-25,0,6
300,7,2014-12-25,0,42
300,9,2015-09-22,0,39
300,10,2016-02-28,0,32
301,7,2014-12-25,0,36
301,9,2015-09-24,0,29
301,10,2016-02-28,0,31
302,9,2015-09-25,0,14
303,10,2016-02-19,0,8
304,7,2014-12-12,0,23
304,9,2015-09-26,0,20
304,10,2016-02-19,0,18
305,7,2014-12-09,0,158
305,9,2015-10-06,NA,2
305,10,2016-02-22,0,52
306,7,2014-12-09,0,91
306,9,2015-09-28,0,37
306,10,2016-02-21,0,47
307,7,2014-12-08,0,7
307,9,2015-09-22,0,15
308,7,2014-12-09,0,12
308,9,2015-09-22,0,3
308,10,2016-02-22,0,3
309,9,2015-09-27,NA,1
310,9,2015-09-28,0,10
311,9,2015-10-06,0,30
312,9,2015-10-06,0,8
313,7,2014-12-22,0.00970873786407767,103
313,8,2015-02-10,0,9
313,9,2015-09-12,0,26
313,10,2016-02-15,0,12
314,7,2014-12-19,0.037037037037037,27
314,8,2015-02-09,0,40
314,9,2015-09-13,0,14
314,10,2016-02-12,0,23
315,7,2014-12-17,0,21
315,8,2015-02-10,0,23
315,10,2016-02-13,0,20
316,7,2014-12-17,0,62
316,8,2015-02-09,0,31
316,10,2016-02-14,0,26
317,7,2014-12-17,0,19
317,8,2015-02-10,0,32
317,9,2015-09-12,0,38
317,10,2016-02-13,0,37
318,7,2014-12-20,0,12
318,8,2015-02-09,0,14
318,9,2015-09-10,0,7
318,10,2016-02-13,0,12
319,7,2014-12-16,0,3
319,8,2015-02-05,0,3
319,9,2015-09-09,0,9
319,10,2016-02-13,0,9
320,8,2015-02-24,0.1,10
320,9,2015-09-08,0,10
321,3,2012-11-11,0,4
322,6,2013-10-25,0,8
323,6,2013-10-25,0,2
324,3,2012-11-13,0,4
324,4,2013-06-19,0,10
324,5,2013-08-12,0,8
324,10,2016-02-10,0.153846153846154,13
325,9,2015-09-25,0,17
325,10,2016-02-18,0,2
326,9,2015-09-24,0,9
326,10,2016-02-18,0,14
327,9,2015-09-25,0,4
328,9,2015-09-25,0,21
328,10,2016-02-20,0,6
329,7,2014-12-12,0,40
329,9,2015-09-27,0,43
329,10,2016-02-19,0,50
330,7,2014-12-10,0,17
330,9,2015-09-24,0.04,25
330,10,2016-02-19,0,9
331,7,2014-12-10,0.0147058823529412,69
331,9,2015-09-24,0,4
331,10,2016-02-19,0,26
332,7,2014-12-08,0,24
332,10,2016-02-20,0,15
