"event","fulldate","cov_all","grid_cell"
3,2013-10-23,0.711111111111111,487
1,2012-08-16,0.8,488
2,2013-08-13,0.64,488
3,2013-10-23,0.2,488
1,2012-06-28,0.8,489
2,2012-08-16,0.416,489
3,2012-11-09,0.192,489
4,2013-06-20,0.608,489
5,2013-08-13,0.192,489
6,2013-10-26,0.16,489
1,2012-06-28,0.139130434782609,490
2,2012-08-16,0.8,490
3,2012-11-09,0.8,490
4,2013-06-20,0.556521739130435,490
5,2013-08-13,0.173913043478261,490
6,2013-10-26,0.278260869565217,490
1,2012-08-16,0.342857142857143,491
2,2012-11-09,0.571428571428572,491
3,2013-06-20,0.8,491
1,2012-09-04,0.8,492
2,2012-10-26,0.258064516129032,492
3,2013-06-06,0.103225806451613,492
4,2013-08-24,0.0258064516129032,492
5,2013-10-15,0.232258064516129,492
1,2012-09-04,0.766666666666667,493
2,2012-10-26,0.166666666666667,493
3,2013-06-06,0.3,493
4,2013-08-12,0.8,493
5,2013-10-15,0.5,493
1,2012-07-04,0.0258064516129032,494
2,2012-09-04,0.296774193548387,494
3,2012-10-26,0.8,494
4,2013-06-06,0.245161290322581,494
5,2013-08-24,0.0645161290322581,494
6,2013-10-15,0.206451612903226,494
1,2012-07-03,0.727272727272727,495
2,2012-09-04,0.8,495
3,2013-06-06,0.509090909090909,495
4,2013-08-24,0.581818181818182,495
1,2012-07-03,0.512,496
2,2012-09-04,0.8,496
3,2012-10-23,0.208,496
4,2013-06-04,0.496,496
5,2013-08-23,0.48,496
6,2013-10-14,0.384,496
1,2012-09-03,0.452173913043478,497
2,2012-10-23,0.8,497
3,2013-06-04,0.521739130434783,497
4,2013-08-22,0.8,497
5,2013-10-14,0.417391304347826,497
1,2012-07-02,0.15609756097561,498
2,2012-09-03,0.331707317073171,498
3,2012-10-23,0.370731707317073,498
4,2013-06-04,0.117073170731707,498
5,2013-10-18,0.8,498
1,2012-09-03,0.512820512820513,499
2,2012-10-23,0.471794871794872,499
3,2013-06-12,0.8,499
4,2013-08-12,0.758974358974359,499
1,2013-10-27,0.8,530
1,2012-06-29,0.495238095238095,532
2,2012-08-16,0.8,532
3,2012-11-09,0.571428571428572,532
4,2013-06-20,0.723809523809524,532
5,2013-08-13,0.342857142857143,532
6,2013-10-23,0.685714285714286,532
1,2012-06-28,0.731428571428571,533
2,2012-08-16,0.525714285714286,533
3,2013-06-20,0.205714285714286,533
4,2013-08-13,0.114285714285714,533
5,2013-10-23,0.8,533
1,2012-06-27,0.338461538461538,534
2,2012-08-19,0.8,534
3,2012-11-09,0.728205128205128,534
4,2013-06-19,0.441025641025641,534
5,2013-08-13,0.625641025641026,534
1,2012-06-27,0.184615384615385,535
2,2012-08-19,0.533333333333333,535
3,2012-11-09,0.8,535
4,2013-06-20,0.164102564102564,535
5,2013-08-13,0.38974358974359,535
6,2013-10-26,0.102564102564103,535
1,2013-06-20,0.8,536
2,2013-08-13,0.8,536
1,2012-09-04,0.430769230769231,537
2,2012-10-24,0.8,537
3,2013-06-06,0.471794871794872,537
4,2013-10-16,0.656410256410256,537
1,2012-09-04,0.8,538
2,2012-10-24,0.451282051282051,538
3,2013-06-06,0.676923076923077,538
4,2013-08-24,0.348717948717949,538
5,2013-10-15,0.328205128205128,538
1,2012-07-03,0.243478260869565,539
2,2012-09-04,0.591304347826087,539
3,2012-10-24,0.8,539
4,2013-06-06,0.452173913043478,539
5,2013-10-15,0.660869565217391,539
1,2012-07-03,0.644961240310078,540
2,2012-09-05,0.291472868217054,540
3,2012-10-26,0.613953488372093,540
4,2013-06-06,0.148837209302326,540
5,2013-08-24,0.675968992248062,540
6,2013-10-17,0.8,540
1,2012-07-06,0.228571428571429,541
2,2012-09-07,0.163265306122449,541
3,2012-10-24,0.19047619047619,541
4,2013-06-07,0.8,541
5,2013-08-22,0.212244897959184,541
6,2013-10-18,0.119727891156463,541
1,2012-07-02,0.8,542
2,2012-09-03,0.6,542
3,2012-10-23,0.55,542
4,2013-06-04,0.575,542
5,2013-08-22,0.4,542
6,2013-10-14,0.7625,542
1,2012-09-03,0.290909090909091,543
2,2012-10-23,0.218181818181818,543
3,2013-08-12,0.8,543
1,2012-09-03,0.562962962962963,544
2,2012-10-23,0.414814814814815,544
3,2013-06-04,0.711111111111111,544
4,2013-08-07,0.8,544
5,2013-10-08,0.325925925925926,544
1,2012-06-27,0.444444444444444,574
2,2012-08-17,0.8,574
3,2012-11-12,0.533333333333333,574
4,2013-08-15,0.444444444444444,574
5,2013-10-27,0.681481481481482,574
1,2012-06-27,0.685714285714286,575
2,2012-08-20,0.742857142857143,575
3,2012-11-10,0.742857142857143,575
4,2013-06-18,0.8,575
1,2012-06-27,0.533333333333333,576
2,2012-08-20,0.711111111111111,576
3,2012-11-10,0.8,576
4,2013-06-21,0.444444444444444,576
1,2012-08-16,0.711111111111111,577
2,2012-11-09,0.533333333333333,577
3,2013-06-20,0.8,577
4,2013-08-13,0.355555555555556,577
5,2013-10-23,0.266666666666667,577
1,2012-06-27,0.32,578
2,2012-08-19,0.8,578
3,2012-11-09,0.8,578
4,2013-06-20,0.768,578
5,2013-08-13,0.592,578
1,2012-09-04,0.581818181818182,580
2,2012-10-26,0.756363636363636,580
3,2013-05-06,0.741818181818182,580
4,2013-08-24,0.8,580
5,2013-10-16,0.669090909090909,580
1,2012-07-03,0.266666666666667,581
2,2012-09-04,0.8,581
3,2013-05-06,0.444444444444444,581
1,2012-07-03,0.235294117647059,582
2,2012-09-04,0.376470588235294,582
3,2012-10-24,0.376470588235294,582
4,2013-06-07,0.8,582
1,2012-07-03,0.325925925925926,583
2,2012-09-03,0.385185185185185,583
3,2012-10-23,0.237037037037037,583
4,2013-06-05,0.8,583
5,2013-08-24,0.0592592592592593,583
6,2013-09-18,0.237037037037037,583
1,2012-07-02,0.526315789473684,584
2,2012-09-03,0.8,584
3,2012-10-23,0.652631578947368,584
4,2013-06-04,0.694736842105263,584
5,2013-08-22,0.652631578947368,584
6,2013-10-14,0.684210526315789,584
1,2012-07-02,0.366666666666667,585
2,2012-09-03,0.8,585
3,2012-10-26,0.333333333333333,585
4,2013-06-04,0.433333333333333,585
5,2013-08-22,0.7,585
6,2013-10-14,0.366666666666667,585
1,2012-07-03,0.8,586
2,2012-09-03,0.0941176470588235,586
3,2012-10-26,0.188235294117647,586
4,2013-06-07,0.329411764705882,586
5,2013-08-07,0.423529411764706,586
6,2013-10-08,0.470588235294118,586
1,2012-09-07,0.4,587
2,2012-10-26,0.8,587
3,2013-06-07,0.766666666666667,587
4,2013-08-07,0.133333333333333,587
5,2013-10-08,0.466666666666667,587
1,2012-09-06,0.666666666666667,588
2,2012-10-26,0.8,588
3,2013-06-07,0.466666666666667,588
4,2013-08-07,0.2,588
5,2013-10-08,0.733333333333333,588
1,2012-08-22,0.72,589
2,2012-10-26,0.56,589
3,2013-08-07,0.8,589
4,2013-09-08,0.48,589
1,2012-06-26,0.18,615
2,2012-08-17,0.24,615
3,2012-11-12,0.28,615
4,2013-06-21,0.16,615
5,2013-10-27,0.8,615
1,2012-06-27,0.3,616
2,2012-11-10,0.1,616
3,2013-06-18,0.45,616
4,2013-08-14,0.75,616
5,2013-10-23,0.8,616
1,2012-06-28,0.8,617
2,2012-08-20,0.7,617
3,2012-11-10,0.65,617
4,2013-06-21,0.6,617
5,2013-08-15,0.625,617
6,2013-10-23,0.4,617
1,2012-06-28,0.266666666666667,618
2,2013-06-20,0.8,618
1,2012-09-04,0.780487804878049,619
2,2012-10-24,0.8,619
3,2013-06-12,0.409756097560976,619
4,2013-08-24,0.624390243902439,619
5,2013-10-16,0.390243902439024,619
1,2012-07-03,0.376470588235294,620
2,2012-09-04,0.235294117647059,620
3,2012-10-24,0.8,620
4,2013-06-07,0.588235294117647,620
5,2013-08-24,0.8,620
6,2013-10-15,0.4,620
1,2012-09-03,0.561702127659575,621
2,2012-10-23,0.459574468085106,621
3,2013-06-05,0.8,621
4,2013-09-14,0.28936170212766,621
1,2012-07-03,0.2,622
2,2012-09-03,0.75,622
3,2012-10-25,0.8,622
4,2013-06-08,0.25,622
5,2013-08-22,0.15,622
6,2013-10-14,0.25,622
1,2012-07-02,0.8,623
2,2012-10-23,0.666666666666667,623
3,2013-08-22,0.666666666666667,623
1,2012-07-04,0.648648648648649,624
2,2012-09-06,0.67027027027027,624
3,2012-10-26,0.562162162162162,624
4,2013-06-07,0.518918918918919,624
5,2013-08-07,0.540540540540541,624
6,2013-10-08,0.8,624
1,2012-08-22,0.556521739130435,625
2,2012-10-26,0.556521739130435,625
3,2013-06-07,0.382608695652174,625
4,2013-08-07,0.8,625
5,2013-10-08,0.591304347826087,625
1,2012-08-17,0.8,653
1,2012-06-27,0.2,654
2,2012-08-21,0.415384615384615,654
3,2012-11-10,0.415384615384615,654
4,2013-06-21,0.476923076923077,654
5,2013-08-14,0.8,654
6,2013-10-25,0.307692307692308,654
1,2012-06-28,0.290909090909091,655
2,2012-08-19,0.8,655
3,2012-11-09,0.727272727272727,655
4,2013-06-21,0.218181818181818,655
5,2013-08-12,0.581818181818182,655
6,2013-10-25,0.363636363636364,655
1,2012-06-28,0.461135371179039,656
2,2012-08-19,0.0908296943231441,656
3,2012-11-12,0.213100436681223,656
4,2013-06-21,0.136244541484716,656
5,2013-08-14,0.279475982532751,656
6,2013-10-26,0.8,656
1,2012-06-27,0.378947368421053,657
2,2012-11-12,0.378947368421053,657
3,2013-06-20,0.8,657
4,2013-10-27,0.147368421052632,657
1,2012-09-06,0.509090909090909,658
2,2012-10-25,0.8,658
3,2013-06-05,0.436363636363636,658
1,2012-09-05,0.342857142857143,659
2,2012-10-28,0.8,659
3,2013-06-12,0.647619047619048,659
4,2013-10-16,0.571428571428572,659
1,2012-07-29,0.444444444444444,660
2,2012-09-05,0.711111111111111,660
3,2013-06-12,0.444444444444444,660
4,2013-10-16,0.8,660
1,2012-07-29,0.347169811320755,661
2,2012-09-05,0.60377358490566,661
3,2012-10-26,0.739622641509434,661
4,2013-06-05,0.679245283018868,661
5,2013-08-25,0.8,661
6,2013-10-14,0.377358490566038,661
1,2012-07-02,0.0421052631578947,662
2,2012-09-03,0.294736842105263,662
3,2012-10-24,0.8,662
4,2013-06-05,0.694736842105263,662
5,2013-08-25,0.484210526315789,662
6,2013-10-14,0.421052631578947,662
1,2012-07-03,0.371014492753623,663
2,2012-09-03,0.417391304347826,663
3,2012-10-23,0.8,663
4,2013-06-08,0.197101449275362,663
5,2013-08-25,0.382608695652174,663
6,2013-10-14,0.463768115942029,663
1,2012-10-23,0.8,664
2,2013-10-14,0.2,664
1,2012-07-04,0.517647058823529,665
2,2012-08-22,0.8,665
3,2012-10-26,0.8,665
4,2013-06-07,0.235294117647059,665
5,2013-08-07,0.141176470588235,665
6,2013-10-08,0.188235294117647,665
1,2012-07-03,0.626666666666667,666
2,2012-08-22,0.12,666
3,2012-10-26,0.493333333333333,666
4,2013-06-07,0.8,666
5,2013-08-07,0.0933333333333333,666
6,2013-10-08,0.386666666666667,666
1,2012-10-28,0.8,667
2,2013-06-07,0.342857142857143,667
3,2013-08-07,0.685714285714286,667
4,2013-10-08,0.571428571428572,667
1,2012-06-27,0.705882352941177,694
