"event","fulldate","cov_newclin_youth","cov_newclin_adult","cov_severe_youth","cov_severe_adult","duration","grid_cell"
"1",2010-01-01,0.318961895428608,0.212641263619072,0.478289036202258,0.318961895428608,1642,120
"2",2014-07-01,0.596228881536195,0.39748592102413,0.744650536895039,0.596201969337604,5000,120
"1",2010-01-01,0.292181810124339,0.194787873416226,0.438272715186509,0.292181810124339,1642,121
"2",2014-07-01,0.887552367285455,0.591701578190303,0.9,0.887552367285455,5000,121
"1",2010-01-01,0.308549764969385,0.205699843312923,0.462824647454077,0.308549764969385,1642,122
"2",2014-07-01,0.743526469801728,0.495684313201152,0.9,0.743526469801728,5000,122
"1",2010-01-01,0.329012289670603,0.219341526447068,0.493518434505904,0.329012289670603,1642,123
"2",2014-07-01,0.685816855566801,0.457211237044534,0.9,0.685816855566801,5000,123
"1",2010-01-01,0.353433145652785,0.235622097101857,0.530149718479178,0.353433145652785,1642,124
"2",2014-07-01,0.815591698671167,0.543727799114112,0.9,0.815591698671167,5000,124
"1",2010-01-01,0.318961895428608,0.212641263619072,0.478289036202258,0.318961895428608,1642,125
