"grid_cell","mid_x","mid_y","catchment","cluster_id","cluster_dist"
4630,27.7560847233346,-16.5601121705762,NA,"80207_6",1.10261874879696
4631,27.7560847233346,-16.551129017735,NA,"80207_6",0.149638487908277
4632,27.7560847233346,-16.5421458648938,NA,"80207_6",0.910502745035404
4633,27.7560847233346,-16.5151964063702,NA,"80207_2",1.36030587831449
4634,27.7560847233346,-16.506213253529,NA,"80207_2",1.02339044234984
4635,27.7560847233346,-16.4972301006879,NA,"80207_2",1.49807339452447
4639,27.7655351696928,-16.9014719785416,"sinafala","80211_8",3.51000856882958
4640,27.7655351696928,-16.8565562143357,"sinafala","80211_1",0.588014615148964
4641,27.7655351696928,-16.8475730614945,"sinafala","80211_1",1.29355995264208
4642,27.7655351696928,-16.8206236029709,"sinafala","80211_4",1.20524224453726
4643,27.7655351696928,-16.8116404501297,"sinafala","80211_4",1.55114250094254
4644,27.7655351696928,-16.8026572972885,"sinafala","80211_3",1.52273485075889
4645,27.7655351696928,-16.7936741444473,"sinafala","80211_3",0.890736394052345
4646,27.7655351696928,-16.7846909916061,"sinafala","80211_3",1.126099999908
4647,27.7655351696928,-16.7757078387649,"sinafala","80211_3",1.93462944359557
4648,27.7655351696928,-16.7667246859237,"chabbobboma","80202_10",2.63939988384951
4649,27.7655351696928,-16.7397752274001,"munyumbwe","80209_6",2.88754286115149
4650,27.7655351696928,-16.7307920745589,"munyumbwe","80209_6",2.01576570823807
4651,27.7655351696928,-16.7218089217177,"munyumbwe","80209_6",1.33742999195291
4652,27.7655351696928,-16.7128257688765,"munyumbwe","80209_6",1.23049849800257
4653,27.7655351696928,-16.7038426160353,"munyumbwe","80209_6",1.799870578998
4654,27.7655351696928,-16.6589268518294,"munyumbwe","80209_8",2.0092337990867
4655,27.7655351696928,-16.6499436989882,"munyumbwe","80209_8",1.63880802403107
4656,27.7655351696928,-16.640960546147,"munyumbwe","80209_4",1.67394514793528
4657,27.7655351696928,-16.6319773933058,"munyumbwe","80209_4",0.897250217915613
4658,27.7655351696928,-16.6229942404646,"munyumbwe","80209_4",0.89890129585239
4659,27.7655351696928,-16.6140110876234,"munyumbwe","80209_4",1.67660046424348
4660,27.7655351696928,-16.596044781941,NA,"80207_9",0.985236169991347
4661,27.7655351696928,-16.5870616290998,NA,"80207_9",0.663701005803516
4662,27.7655351696928,-16.5780784762586,NA,"80207_9",1.38213882560229
4663,27.7655351696928,-16.5690953234174,NA,"80207_10",1.68705891443326
4664,27.7655351696928,-16.5601121705762,NA,"80207_6",1.56938916399293
4665,27.7655351696928,-16.551129017735,NA,"80207_6",1.12679370110877
4666,27.7655351696928,-16.5151964063702,NA,"80207_2",0.901631437334682
4667,27.7655351696928,-16.506213253529,NA,"80207_2",0.0989290133813147
4668,27.7655351696928,-16.4972301006879,NA,"80207_2",1.09846923059455
4671,27.7749856160511,-16.919438284224,"sinafala","80211_8",4.51918203410584
4672,27.7749856160511,-16.9104551313828,"sinafala","80211_8",4.39144524306775
4673,27.7749856160511,-16.9014719785416,"sinafala","80211_8",4.48849374204586
4674,27.7749856160511,-16.8655393671769,"sinafala","80211_1",1.78016698914112
4675,27.7749856160511,-16.8565562143357,"sinafala","80211_1",1.58007369327464
4676,27.7749856160511,-16.8475730614945,"sinafala","80211_1",1.9555743920026
4677,27.7749856160511,-16.8385899086533,"sinafala","80211_4",2.03298208845906
4678,27.7749856160511,-16.8296067558121,"sinafala","80211_4",1.04229717871432
4679,27.7749856160511,-16.8206236029709,"sinafala","80211_4",0.199375637619388
4680,27.7749856160511,-16.8116404501297,"sinafala","80211_4",0.996552999270797
4681,27.7749856160511,-16.8026572972885,"sinafala","80211_4",1.98657622939477
4682,27.7749856160511,-16.7936741444473,"sinafala","80211_3",1.87675633048289
4683,27.7749856160511,-16.7846909916061,"sinafala","80211_3",1.9992581879149
4684,27.7749856160511,-16.7757078387649,"chabbobboma","80202_10",2.12262794381383
4685,27.7749856160511,-16.7667246859237,"chabbobboma","80202_10",1.65002195458238
4686,27.7749856160511,-16.7128257688765,"munyumbwe","80209_6",2.21332500395244
4687,27.7749856160511,-16.6589268518294,"munyumbwe","80209_8",1.32985253097156
4688,27.7749856160511,-16.6499436989882,"munyumbwe","80209_8",0.645811618445077
4689,27.7749856160511,-16.640960546147,"munyumbwe","80209_8",1.03229721135859
4690,27.7749856160511,-16.6319773933058,"munyumbwe","80209_4",0.563189230154187
4691,27.7749856160511,-16.6229942404646,"munyumbwe","80209_4",0.565795768248599
4692,27.7749856160511,-16.6140110876234,"munyumbwe","80209_4",1.52416127514468
4693,27.7749856160511,-16.5780784762586,NA,"80207_10",1.0691845258426
